05.07.2001	186
02.03.2005	61
13.09.2017	256
12.09.2001	255
07.07.2016	189
30.03.2017	89
09.12.2002	343
01.05.2001	121
15.01.2016	15
14.04.2000	105
27.10.2009	300
02.06.2004	154
20.04.2016	111
11.12.2007	345
15.02.2014	46
29.10.2010	302
07.02.2003	38
26.01.2011	26
06.11.2008	311
02.07.2013	183
08.10.2008	282
07.03.2005	66
13.10.2004	287
21.04.2007	111
01.03.2001	60
21.08.2014	233
04.01.2000	4
06.01.2010	6
20.12.2010	354
01.05.2011	121
16.03.2006	75
27.06.2016	179
13.11.2009	317
17.04.2007	107
07.03.2007	66
11.10.2006	284
25.12.2010	359
21.02.2001	52
07.08.2014	219
22.05.2008	143
21.04.2013	111
02.04.2000	93
22.01.2002	22
13.06.2017	164
12.05.2016	133
17.03.2004	77
10.04.2004	101
12.10.2012	286
20.07.2014	201
26.07.2004	208
26.08.2011	238
12.02.2008	43
24.04.2016	115
25.05.2007	145
18.01.2008	18
09.01.2010	9
28.04.2013	118
17.09.2003	260
26.07.2005	207
20.06.2013	171
13.05.2008	134
11.12.2004	346
07.04.2014	97
02.04.2008	93
26.04.2006	116
12.05.2012	133
14.08.2004	227
29.10.2010	302
12.03.2012	72
28.02.2012	59
25.04.2007	115
06.01.2009	6
10.10.2005	283
20.01.2001	20
06.04.2007	96
25.04.2002	115
11.08.2015	223
08.01.2010	8
09.10.2000	283
01.01.2006	1
02.01.2004	2
06.12.2003	340
28.05.2006	148
15.03.2003	74
02.04.2015	92
16.02.2008	47
27.04.2015	117
21.10.2013	294
26.03.2015	85
02.01.2008	2
05.02.2017	36
16.09.2015	259
29.11.2006	333
19.08.2014	231
24.07.2006	205
11.09.2017	254
30.06.2002	181
05.12.2006	339
12.08.2005	224
04.06.2007	155
05.02.2010	36
15.03.2013	74
25.06.2000	177
01.10.2012	275
14.02.2002	45
12.12.2010	346
27.10.2003	300
16.02.2012	47
26.10.2002	299
22.04.2007	112
06.11.2002	310
02.06.2004	154
26.01.2013	26
07.07.2016	189
21.11.2007	325
10.12.2014	344
29.01.2015	29
16.09.2000	260
14.07.2017	195
13.07.2001	194
07.05.2008	128
27.12.2000	362
17.06.2005	168
01.02.2003	32
31.07.2006	212
03.07.2001	184
17.01.2013	17
15.09.2001	258
07.09.2011	250
01.05.2013	121
01.01.2012	1
08.05.2006	128
10.04.2007	100
04.02.2011	35
